_id,objectid_1,objectid,acreage,sqft,final_cat,Neighborhood,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,globalid_1,shape_area,shape_length
18792,1216,167,51.03648302,2223140.308,Community Park,Sheraden,4,Sheraden Park,Sheraden Park,Sheraden Park,Emerald,16358.83524,351ad94c-c15c-4b25-a11a-f467977f0134,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Emerald,51.03648302,6414fab4-553d-4a0b-be6b-b95003c52a6f,357167.8594,6365.659814
18793,1218,195,0.05966002,2598.780088,Beautification Site,Windermere,10,Windermere Circle 1 & 2,Windermere Circle 1 & 2,Windermere Circle 1 & 2,,286.3803729,c486c01d-a722-4530-8c78-9f4a243b4d7f,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,3rd Division,0.05966002,c2f0b029-6c6c-43aa-b9b1-e831ba1d9c04,417.0820313,114.7031408
18794,1219,139,14.48754111,631074.7664,Riverfront Park,North Shore,16,Northshore Riverfront Park,Northshore Riverfront Park,Northshore Riverfront Park,Riverview,10104.37076,68640034-1684-42f3-b6ea-c292096f526e,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Riverview,14.48754111,412fe9bd-5dc3-4d0d-aace-877faf02237d,101348.2773,4090.189421
18795,1220,147,0.09002187,3921.33688,Beautification Site,Squirrel Hill,14,Parkview Islands,Parkview Islands,Parkview Islands,,1353.959973,1f683a5a-8c27-4cdf-b2cb-5d8ac86be602,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,3rd Division,9.00E-02,1ddbb1a9-f59a-4063-a8f5-d091b3575f4e,629.5625,543.3726176
18796,1221,78,5.76013885,250910.6449,Regional Park,Mount Washington,6,Grandview Overlook,Emerald View Park - Grandview Overlook,Emerald View Regional Park,Emerald,5037.750898,e065b497-78da-4f77-b22f-ad9c13a0b5ec,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Western,5.760138855,16ada7f6-f6cf-4c5b-a28a-1bc99ac712ea,40280.57813,1819.505332
18797,1222,106,1.15757262,50423.66174,Beautification Site,Downtown,16,Liberty Avenue Island,Liberty Avenue Island,Liberty Avenue Island,,2220.129118,ab150e5d-67ff-4b95-a634-3e3c5397f38b,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,6th Division,1.157572623,4e649344-ba6c-4fe0-a97b-545fdf5bb5d8,8096.921875,888.8423278
18798,1223,184,8.5925235,374288.8265,Neighborhood Park,Allegheny West,5,Volunteers Field,Volunteers Park,Volunteers Park,McKinley,5812.441974,febad663-68a9-4e76-ae18-ae4f8430cfae,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - McKinley,8.592523499,a4ed0db5-4ae0-4a1e-9774-6780c7f7261a,60023.96094,1740.044549
18799,1224,69,4.54113022,197810.8413,Beautification Site,Penn Hills,12,Frankstown Triangle 1 & 2,Frankstown Triangle 1 & 2,Frankstown Triangle 1 & 2,,3139.28567,732bc31d-d5bf-4d93-b8be-795a9bdeaf77,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,2nd Division,4.541130223,c6195049-63c1-4c5a-8a9a-66b8d0206371,31782.62891,1259.271262
18800,1225,200,0.57530985,25060.39701,Riverfront Park,Lawrenceville,16,Alcoa Park,Alcoa Park,Alcoa Park,Riverview,912.328695,66d69aea-4c7d-4aac-8aa6-9c7ef7453247,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Riverview,0.575309854,029679e7-a513-4e1f-aa0d-6643daa44bfc,4024.839844,365.2390948
18801,1226,203,0.20055526,8736.152117,Neighborhood Park,Brookline,1,Lookout St Parklet,Andrew 'Huck' Fenrich Memorial Park,Lookout Street Park,Riverview,732.1721166,cf15f763-5076-4f31-875f-93d14fdd8a03,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Riverview,0.200555259,7932507b-d16f-423a-9057-b0c1008d56ac,1403.988281,147.6794555
